"","statename","abb","popff","fips","nfastfood","percapfstfd","nfarmkt","popfm","percapfarmkt"
"1","alabama","AL",4627851,1,970,20.9600525168161,140,4779736,2.929032064
"2","arizona","AZ",6338755,4,1081,17.0538220833586,81,6392017,1.267205641
"3","arkansas","AR",2834797,5,580,20.4600188302725,92,2915918,3.155095582
"4","california","CA",36553215,6,6078,16.6278123552196,759,37253956,2.037367521
"5","colorado","CO",4861515,8,851,17.5048313128726,157,5029196,3.121771353
"6","connecticut","CT",3502309,9,368,10.5073538628373,156,3574097,4.364738842
"7","delaware","DE",864764,10,119,13.7609798742778,29,897934,3.229636031
"8","district of columbia","DC",588292,11,75,12.7487710184738,35,601723,5.816629911
"9","florida","FL",18251243,12,2996,16.4153203154437,224,18801310,1.191406343
"10","georgia","GA",9544750,13,1684,17.6432069986118,138,9687653,1.424493631
"11","idaho","ID",1499402,16,240,16.0063812106426,69,1567582,4.401683612
"12","illinois","IL",12852548,17,2009,15.6311417782684,336,12830632,2.618733044
"13","indiana","IN",6345289,18,1363,21.4805030945005,171,6483802,2.637341486
"14","iowa","IA",2988046,19,559,18.7078779911688,229,3046355,7.517180368
"15","kansas","KS",2775997,20,631,22.7305721151716,92,2853118,3.224542413
"16","kentucky","KY",4241474,21,889,20.9596946721824,131,4339367,3.01887349
"17","louisiana","LA",4293204,22,826,19.2397100161092,66,4533372,1.455869935
"18","maine","ME",1317207,23,183,13.8930327579492,93,1328361,7.001108885
"19","maryland","MD",5618344,24,890,15.8409666620627,147,5773552,2.546092942
"20","minnesota","MN",5197621,27,734,14.1218453596366,186,5303925,3.506836918
"21","mississippi","MS",2918785,28,581,19.9055428885649,82,2967297,2.763457787
"22","missouri","MO",5878415,29,1215,20.6688367527641,246,5988927,4.10758054
"23","montana","MT",957861,30,142,14.8246979467793,66,989415,6.67060839
"24","nebraska","NE",1774571,31,344,19.384966845508,93,1826341,5.092148728
"25","nevada","NV",2565382,32,523,20.3868273808735,46,2700551,1.703356093
"26","new hampshire","NH",1315828,33,184,13.9835905604684,96,1316470,7.292228459
"27","new jersey","NJ",8685920,34,901,10.3731095842467,139,8791894,1.581001773
"28","new mexico","NM",1969915,35,338,17.1581007302346,69,2059179,3.350850023
"29","north dakota","ND",639715,38,109,17.038837607372,63,672591,9.366762267
"30","ohio","OH",11466917,39,2336,20.3716482817483,300,11536504,2.600441174
"31","oklahoma","OK",3617316,40,640,17.692676006188,69,3751351,1.839337348
"32","oregon","OR",3747455,41,612,16.3310833619083,173,3831074,4.515704996
"33","pennsylvania","PA",12432792,42,1652,13.2874417910313,290,12702379,2.283036902
"34","rhode island","RI",1057832,44,125,11.8166211647974,57,1052567,5.415332231
"35","south carolina","SC",4407709,45,980,22.2337726923443,127,4625364,2.74572985
"36","south dakota","SD",796214,46,141,17.7088069287905,38,814180,4.667272593
"37","tennessee","TN",6156719,47,1354,21.9922332008331,99,6346105,1.560012007
"38","texas","TX",23904380,48,3844,16.0807349950093,183,25145561,0.727762646
"39","utah","UT",2645330,49,427,16.1416534043012,40,2763885,1.447238217
"40","vermont","VT",621254,50,63,10.1407797776755,100,625741,15.98105286
"41","west virginia","WV",1812035,54,389,21.4675765092838,90,1852944,4.857135456
"42","wisconsin","WI",5601640,55,897,16.0131675723538,286,5686986,5.02902592
"43","wyoming","WY",522830,56,118,22.5694776504791,41,563626,7.274327302
