"","AGEG","STATE","SEX","IMPRACE","METSD","Freq","YEAR"
"7345","18-24","1","Male","NH White","No",164791.162438323,2013
"7346","25-34","1","Male","NH White","No",162686.794133472,2013
"7347","35-44","1","Male","NH White","No",142577.343655442,2013
"7348","45-54","1","Male","NH White","No",178573.657827817,2013
"7349","55-64","1","Male","NH White","No",131838.963367034,2013
"7350",">65","1","Male","NH White","No",136330.080952734,2013
"7351","18-24","2","Male","NH White","No",25123.3969243166,2013
"7352","25-34","2","Male","NH White","No",35343.6254405565,2013
"7353","35-44","2","Male","NH White","No",28284.3875353351,2013
"7354","45-54","2","Male","NH White","No",27952.2008384506,2013
"7355","55-64","2","Male","NH White","No",28501.9740167826,2013
"7356",">65","2","Male","NH White","No",15472.2684273913,2013
"7357","18-24","4","Male","NH White","No",180171.072154702,2013
"7358","25-34","4","Male","NH White","No",233174.008081325,2013
"7359","35-44","4","Male","NH White","No",211573.959265513,2013
"7360","45-54","4","Male","NH White","No",201668.680198411,2013
"7361","55-64","4","Male","NH White","No",165210.027259096,2013
"7362",">65","4","Male","NH White","No",227929.101027004,2013
"7363","18-24","5","Male","NH White","No",96707.026346091,2013
"7364","25-34","5","Male","NH White","No",126295.869154811,2013
"7365","35-44","5","Male","NH White","No",111539.625693043,2013
"7366","45-54","5","Male","NH White","No",110591.88072264,2013
"7367","55-64","5","Male","NH White","No",91012.3419449167,2013
"7368",">65","5","Male","NH White","No",103902.299124788,2013
"7369","18-24","6","Male","NH White","No",628264.317206486,2013
"7370","25-34","6","Male","NH White","No",987304.48012917,2013
"7371","35-44","6","Male","NH White","No",852996.137078666,2013
"7372","45-54","6","Male","NH White","No",976744.71627397,2013
"7373","55-64","6","Male","NH White","No",757443.278564544,2013
"7374",">65","6","Male","NH White","No",868686.71485638,2013
"7375","18-24","8","Male","NH White","No",170153.411880232,2013
"7376","25-34","8","Male","NH White","No",235697.953047686,2013
"7377","35-44","8","Male","NH White","No",219214.739800503,2013
"7378","45-54","8","Male","NH White","No",233584.628937597,2013
"7379","55-64","8","Male","NH White","No",189616.156759666,2013
"7380",">65","8","Male","NH White","No",171859.655101842,2013
"7381","18-24","9","Male","NH White","No",119905.029419773,2013
"7382","25-34","9","Male","NH White","No",128700.406674184,2013
"7383","35-44","9","Male","NH White","No",116033.205631411,2013
"7384","45-54","9","Male","NH White","No",163289.100398287,2013
"7385","55-64","9","Male","NH White","No",131326.631341363,2013
"7386",">65","9","Male","NH White","No",122527.560922593,2013
"7387","18-24","10","Male","NH White","No",25574.5598439735,2013
"7388","25-34","10","Male","NH White","No",33731.489011043,2013
"7389","35-44","10","Male","NH White","No",26126.8087065533,2013
"7390","45-54","10","Male","NH White","No",34030.8143509937,2013
"7391","55-64","10","Male","NH White","No",30691.2156692503,2013
"7392",">65","10","Male","NH White","No",30824.7764867731,2013
"7393","18-24","11","Male","NH White","No",10799.7755103583,2013
"7394","25-34","11","Male","NH White","No",34628.9207196469,2013
"7395","35-44","11","Male","NH White","No",17334.686899524,2013
"7396","45-54","11","Male","NH White","No",12113.5725703258,2013
"7397","55-64","11","Male","NH White","No",7420.76728851364,2013
"7398",">65","11","Male","NH White","No",11135.2333201428,2013
"7399","18-24","12","Male","NH White","No",391501.418655923,2013
"7400","25-34","12","Male","NH White","No",597759.997039526,2013
"7401","35-44","12","Male","NH White","No",510634.805330985,2013
"7402","45-54","12","Male","NH White","No",623606.276923621,2013
"7403","55-64","12","Male","NH White","No",540131.028714774,2013
"7404",">65","12","Male","NH White","No",743363.66629076,2013
"7405","18-24","13","Male","NH White","No",246787.46610403,2013
"7406","25-34","13","Male","NH White","No",343351.02847043,2013
"7407","35-44","13","Male","NH White","No",300610.321166223,2013
"7408","45-54","13","Male","NH White","No",306849.04994446,2013
"7409","55-64","13","Male","NH White","No",240170.157612827,2013
"7410",">65","13","Male","NH White","No",261163.600536352,2013
"7411","18-24","15","Male","NH White","No",12790.0551769258,2013
"7412","25-34","15","Male","NH White","No",28907.1619201961,2013
"7413","35-44","15","Male","NH White","No",23972.2171557221,2013
"7414","45-54","15","Male","NH White","No",28401.7845040519,2013
"7415","55-64","15","Male","NH White","No",21573.2831788454,2013
"7416",">65","15","Male","NH White","No",20243.5943618697,2013
"7417","18-24","16","Male","NH White","No",61513.0345250455,2013
"7418","25-34","16","Male","NH White","No",81467.3906112243,2013
"7419","35-44","16","Male","NH White","No",68855.623054087,2013
"7420","45-54","16","Male","NH White","No",68048.9349046423,2013
"7421","55-64","16","Male","NH White","No",59130.6350212243,2013
"7422",">65","16","Male","NH White","No",57370.1094023689,2013
"7423","18-24","17","Male","NH White","No",394101.594600009,2013
"7424","25-34","17","Male","NH White","No",448691.742870284,2013
"7425","35-44","17","Male","NH White","No",436159.036153962,2013
"7426","45-54","17","Male","NH White","No",478191.626605067,2013
"7427","55-64","17","Male","NH White","No",406183.686701373,2013
"7428",">65","17","Male","NH White","No",399187.818844371,2013
"7429","18-24","18","Male","NH White","No",265059.784409322,2013
"7430","25-34","18","Male","NH White","No",302434.474518299,2013
"7431","35-44","18","Male","NH White","No",289554.893846868,2013
"7432","45-54","18","Male","NH White","No",292518.552103416,2013
"7433","55-64","18","Male","NH White","No",230569.852808512,2013
"7434",">65","18","Male","NH White","No",202354.485734988,2013
"7435","18-24","19","Male","NH White","No",140963.346625397,2013
"7436","25-34","19","Male","NH White","No",163194.108615113,2013
"7437","35-44","19","Male","NH White","No",134225.403653266,2013
"7438","45-54","19","Male","NH White","No",144490.400270357,2013
"7439","55-64","19","Male","NH White","No",130074.057380561,2013
"7440",">65","19","Male","NH White","No",121777.975353016,2013
"7441","18-24","20","Male","NH White","No",112933.409532374,2013
"7442","25-34","20","Male","NH White","No",138459.53774946,2013
"7443","35-44","20","Male","NH White","No",115967.314032647,2013
"7444","45-54","20","Male","NH White","No",120741.090640012,2013
"7445","55-64","20","Male","NH White","No",101383.947005705,2013
"7446",">65","20","Male","NH White","No",102389.026283746,2013
"7447","18-24","21","Male","NH White","No",166108.09192173,2013
"7448","25-34","21","Male","NH White","No",224915.549114696,2013
"7449","35-44","21","Male","NH White","No",204214.75615363,2013
"7450","45-54","21","Male","NH White","No",202628.170907413,2013
"7451","55-64","21","Male","NH White","No",146088.252668535,2013
"7452",">65","21","Male","NH White","No",155133.313630627,2013
"7453","18-24","22","Male","NH White","No",118570.534278476,2013
"7454","25-34","22","Male","NH White","No",162239.322111472,2013
"7455","35-44","22","Male","NH White","No",151930.076858219,2013
"7456","45-54","22","Male","NH White","No",150817.124436177,2013
"7457","55-64","22","Male","NH White","No",119896.291889082,2013
"7458",">65","22","Male","NH White","No",108797.096696401,2013
"7459","18-24","23","Male","NH White","No",54727.311878097,2013
"7460","25-34","23","Male","NH White","No",64620.9581133386,2013
"7461","35-44","23","Male","NH White","No",60678.7528578539,2013
"7462","45-54","23","Male","NH White","No",72661.0867904959,2013
"7463","55-64","23","Male","NH White","No",68233.216680999,2013
"7464",">65","23","Male","NH White","No",62781.6081700724,2013
"7465","18-24","24","Male","NH White","No",154184.989366269,2013
"7466","25-34","24","Male","NH White","No",190119.677634305,2013
"7467","35-44","24","Male","NH White","No",160174.467290216,2013
"7468","45-54","24","Male","NH White","No",190456.682379307,2013
"7469","55-64","24","Male","NH White","No",159052.140604603,2013
"7470",">65","24","Male","NH White","No",153935.76646859,2013
"7471","18-24","25","Male","NH White","No",251241.84568071,2013
"7472","25-34","25","Male","NH White","No",269410.439609593,2013
"7473","35-44","25","Male","NH White","No",256481.65339244,2013
"7474","45-54","25","Male","NH White","No",321010.186726339,2013
"7475","55-64","25","Male","NH White","No",258000.391892345,2013
"7476",">65","25","Male","NH White","No",229780.840418491,2013
"7477","18-24","26","Male","NH White","No",374682.057326518,2013
"7478","25-34","26","Male","NH White","No",430208.744404046,2013
